atomic_radii_tot_Al,atomic_radii_tot_Ga,atomic_radii_tot_In,atomic_radii_tot_O,atomic_radii_avg_Al,atomic_radii_avg_Ga,atomic_radii_avg_In,atomic_radii_avg_O
2360.0,1632.0,0.0,2304.0,29.5,20.400000000000002,0.0,28.799999999999997
2360.0,1632.0,0.0,2304.0,29.5,20.400000000000002,0.0,28.799999999999997
1534.0,408.0,0.0,1152.0,38.35,10.200000000000001,0.0,28.799999999999997
1062.0,0.0,468.0,864.0,35.400000000000006,0.0,15.600000000000001,28.799999999999997
0.0,2720.0,1872.0,2304.0,0.0,34.0,23.400000000000002,28.799999999999997
1062.0,952.0,0.0,1152.0,26.55,23.8,0.0,28.799999999999997
117.8112,408.21759999999995,4368.0,2304.0,1.47264,5.10272,54.60000000000001,28.799999999999997
472.0,0.0,624.0,576.0,23.6,0.0,31.200000000000003,28.799999999999997
2005.8112,952.2176,1248.0,2304.0,25.07264,11.90272,15.600000000000001,28.799999999999997
1533.8112,2584.2176,0.0,2304.0,19.17264,32.30272,0.0,28.799999999999997
1651.9056000000003,1360.1088,0.0,1728.0,27.531760000000002,22.668480000000002,0.0,28.799999999999997
2242.1888,1767.7824,0.0,2304.0,28.02736,22.09728,0.0,28.799999999999997
1534.0,408.0,0.0,1152.0,38.35,10.200000000000001,0.0,28.799999999999997
472.0,3808.0,0.0,2304.0,5.9,47.6,0.0,28.799999999999997
1416.0,544.0,2496.0,2304.0,17.700000000000003,6.800000000000001,31.200000000000003,28.799999999999997
1652.0,816.0,1872.0,2304.0,20.650000000000002,10.200000000000001,23.400000000000002,28.799999999999997
3421.8112,272.0,155.75039999999998,2304.0,42.77264,3.4000000000000004,1.94688,28.799999999999997
0.0,1767.7824,2964.2496,2304.0,0.0,22.09728,37.05312,28.799999999999997
590.0472,543.9456,468.0,864.0,19.668240000000004,18.13152,15.600000000000001,28.799999999999997
236.0,272.0,624.0,576.0,11.8,13.600000000000001,31.200000000000003,28.799999999999997
0.0,1632.0,3120.0,2304.0,0.0,20.400000000000002,39.0,28.799999999999997
825.9528000000001,680.0544,0.0,864.0,27.531760000000002,22.668480000000002,0.0,28.799999999999997
944.0471999999999,0.0,623.9376,864.0,31.468239999999998,0.0,20.797919999999998,28.799999999999997
589.8112,2448.0,1403.7504000000001,2304.0,7.3726400000000005,30.6,17.54688,28.799999999999997
1062.0,272.0544,155.9376,864.0,35.400000000000006,9.068480000000001,5.197920000000001,28.799999999999997
1652.0,0.0,312.0,1152.0,41.300000000000004,0.0,7.800000000000001,28.799999999999997
826.0,544.0,780.0,1152.0,20.650000000000002,13.600000000000001,19.5,28.799999999999997
1652.0,272.0,0.0,1152.0,41.300000000000004,6.800000000000001,0.0,28.799999999999997
354.18879999999996,2176.0,2027.7504000000001,2304.0,4.42736,27.200000000000003,25.346880000000002,28.799999999999997
3068.0,135.7824,779.7504,2304.0,38.35,1.69728,9.74688,28.799999999999997
1298.1888,1360.0,1716.2495999999999,2304.0,16.22736,17.0,21.453120000000002,28.799999999999997
0.0,544.0,1872.0,1152.0,0.0,13.600000000000001,46.800000000000004,28.799999999999997
1062.0,0.0,1092.0,1152.0,26.55,0.0,27.300000000000004,28.799999999999997
2242.1888,952.2176,936.0,2304.0,28.02736,11.90272,11.700000000000001,28.799999999999997
0.0,2448.0,2184.0,2304.0,0.0,30.6,27.300000000000004,28.799999999999997
1298.1888,1767.7824,1248.0,2304.0,16.22736,22.09728,15.600000000000001,28.799999999999997
944.0,0.0,1248.0,1152.0,23.6,0.0,31.200000000000003,28.799999999999997
1180.0,272.0,3120.0,2304.0,14.75,3.4000000000000004,39.0,28.799999999999997
472.0,952.0,780.0,1152.0,11.8,23.8,19.5,28.799999999999997
354.18879999999996,2040.2176,2184.0,2304.0,4.42736,25.502720000000004,27.300000000000004,28.799999999999997
1061.8112,1496.2176,1872.0,2304.0,13.27264,18.70272,23.400000000000002,28.799999999999997
3068.0,135.7824,779.7504,2304.0,38.35,1.69728,9.74688,28.799999999999997
2360.0,135.7824,1716.2495999999999,2304.0,29.5,1.69728,21.453120000000002,28.799999999999997
3658.1888,135.7824,0.0,2304.0,45.727360000000004,1.69728,0.0,28.799999999999997
1533.8112,1496.2176,1248.0,2304.0,19.17264,18.70272,15.600000000000001,28.799999999999997
1888.0,2176.0,0.0,2304.0,23.6,27.200000000000003,0.0,28.799999999999997
2596.0,952.2176,468.2496,2304.0,32.45,11.90272,5.85312,28.799999999999997
2360.0,679.7824,1092.2495999999999,2304.0,29.5,8.497280000000002,13.65312,28.799999999999997
118.0,1360.0,780.0,1152.0,2.95,34.0,19.5,28.799999999999997
3186.1888,544.0,155.75039999999998,2304.0,39.827360000000006,6.800000000000001,1.94688,28.799999999999997
590.0472,543.9456,468.0,864.0,19.668240000000004,18.13152,15.600000000000001,28.799999999999997
1888.0,2176.0,0.0,2304.0,23.6,27.200000000000003,0.0,28.799999999999997
236.0,408.21759999999995,4212.2496,2304.0,2.95,5.10272,52.65312000000001,28.799999999999997
1533.8112,544.0,2340.2496,2304.0,19.17264,6.800000000000001,29.253120000000003,28.799999999999997
826.0,1224.0,0.0,1152.0,20.650000000000002,30.6,0.0,28.799999999999997
708.0,816.0,0.0,864.0,23.6,27.200000000000003,0.0,28.799999999999997
826.0,0.0,1404.0,1152.0,20.650000000000002,0.0,35.1,28.799999999999997
472.0,3536.0,312.0,2304.0,5.9,44.2,3.9000000000000004,28.799999999999997
708.0,816.0,0.0,864.0,23.6,27.200000000000003,0.0,28.799999999999997
2477.8112,1496.2176,0.0,2304.0,30.97264,18.70272,0.0,28.799999999999997
354.18879999999996,2992.0,1092.2495999999999,2304.0,4.42736,37.400000000000006,13.65312,28.799999999999997
2477.8112,679.7824,936.0,2304.0,30.97264,8.497280000000002,11.700000000000001,28.799999999999997
236.0,680.0,1404.0,1152.0,5.9,17.0,35.1,28.799999999999997
1180.0,544.0,312.0,1152.0,29.5,13.600000000000001,7.800000000000001,28.799999999999997
