mass_tot_Al,mass_tot_Ga,mass_tot_In,mass_tot_O,mass_avg_Al,mass_avg_Ga,mass_avg_In,mass_avg_O
539.630772,836.6759999999999,0.0,767.9712,6.74538465,10.458450000000001,0.0,9.599639999999999
539.630772,836.6759999999999,0.0,767.9712,6.74538465,10.458450000000001,0.0,9.599639999999999
350.7600018,209.16899999999998,0.0,383.9856,8.769000045,5.2292250000000005,0.0,9.599639999999999
242.8338474,0.0,344.454,287.9892,8.09446158,0.0,11.4818,9.599639999999999
0.0,1394.46,1377.816,767.9712,0.0,17.43075,17.222700000000003,9.599639999999999
242.8338474,488.061,0.0,383.9856,6.070846185000001,12.201525,0.0,9.599639999999999
26.938368138239998,209.28055679999997,3214.904,767.9712,0.336729601728,2.61600696,40.1863,9.599639999999999
107.9261544,0.0,459.272,191.9928,5.39630772,0.0,22.9636,9.599639999999999
458.64298573824,488.1725568,918.544,767.9712,5.733037321728,6.10215696,11.4818,9.599639999999999
350.71683133824,1324.8485567999999,0.0,767.9712,4.383960391728,16.56060696,0.0,9.599639999999999
377.71995516912006,697.2857784,0.0,575.9784,6.295332586152001,11.62142964,0.0,9.599639999999999
512.69240386176,906.2874432,0.0,767.9712,6.408655048272,11.328593040000001,0.0,9.599639999999999
350.7600018,209.16899999999998,0.0,383.9856,8.769000045,5.2292250000000005,0.0,9.599639999999999
107.9261544,1952.244,0.0,767.9712,1.34907693,24.40305,0.0,9.599639999999999
323.77846320000003,278.892,1837.088,767.9712,4.04723079,3.4861500000000003,22.9636,9.599639999999999
377.7415404,418.33799999999997,1377.816,767.9712,4.721769255000001,5.2292250000000005,17.222700000000003,9.599639999999999
782.42144893824,139.446,114.63429119999999,767.9712,9.780268111728,1.7430750000000002,1.4329286399999999,9.599639999999999
0.0,906.2874432,2181.7257088,767.9712,0.0,11.328593040000001,27.27157136,9.599639999999999
134.91848561544,278.8641108,344.454,287.9892,4.4972828538480005,9.29547036,11.4818,9.599639999999999
53.9630772,139.446,459.272,191.9928,2.69815386,6.972300000000001,22.9636,9.599639999999999
0.0,836.6759999999999,2296.36,767.9712,0.0,10.458450000000001,28.7045,9.599639999999999
188.85997758456003,348.6428892,0.0,287.9892,6.295332586152001,11.62142964,0.0,9.599639999999999
215.86310141543998,0.0,459.2260728,287.9892,7.195436713847999,0.0,15.307535759999999,9.599639999999999
134.86452253824,1255.014,1033.1782912,767.9712,1.6858065317280002,15.687675,12.914728640000002,9.599639999999999
242.8338474,139.4738892,114.7720728,287.9892,8.09446158,4.64912964,3.82573576,9.599639999999999
377.7415404,0.0,229.636,383.9856,9.443538510000002,0.0,5.7409,9.599639999999999
188.8707702,278.892,574.09,383.9856,4.721769255000001,6.972300000000001,14.35225,9.599639999999999
377.7415404,139.446,0.0,383.9856,9.443538510000002,3.4861500000000003,0.0,9.599639999999999
80.98778626176,1115.568,1492.4502912,767.9712,1.012347328272,13.944600000000001,18.65562864,9.599639999999999
701.5200036,69.6114432,573.9062912,767.9712,8.769000045,0.87014304,7.173828640000001,9.599639999999999
296.84009506176,697.23,1263.1817088,767.9712,3.710501188272,8.715375,15.78977136,9.599639999999999
0.0,278.892,1377.816,383.9856,0.0,6.972300000000001,34.44540000000001,9.599639999999999
242.8338474,0.0,803.726,383.9856,6.070846185000001,0.0,20.09315,9.599639999999999
512.69240386176,488.1725568,688.908,767.9712,6.408655048272,6.10215696,8.611350000000002,9.599639999999999
0.0,1255.014,1607.452,767.9712,0.0,15.687675,20.09315,9.599639999999999
296.84009506176,906.2874432,918.544,767.9712,3.710501188272,11.328593040000001,11.4818,9.599639999999999
215.8523088,0.0,918.544,383.9856,5.39630772,0.0,22.9636,9.599639999999999
269.815386,139.446,2296.36,767.9712,3.372692325,1.7430750000000002,28.7045,9.599639999999999
107.9261544,488.061,574.09,383.9856,2.69815386,12.201525,14.35225,9.599639999999999
80.98778626176,1045.9565568,1607.452,767.9712,1.012347328272,13.074456960000001,20.09315,9.599639999999999
242.79067693824,767.0645568,1377.816,767.9712,3.0348834617280005,9.58830696,17.222700000000003,9.599639999999999
701.5200036,69.6114432,573.9062912,767.9712,8.769000045,0.87014304,7.173828640000001,9.599639999999999
539.630772,69.6114432,1263.1817088,767.9712,6.74538465,0.87014304,15.78977136,9.599639999999999
836.47086706176,69.6114432,0.0,767.9712,10.455885838272001,0.87014304,0.0,9.599639999999999
350.71683133824,767.0645568,918.544,767.9712,4.383960391728,9.58830696,11.4818,9.599639999999999
431.7046176,1115.568,0.0,767.9712,5.39630772,13.944600000000001,0.0,9.599639999999999
593.5938492,488.1725568,344.6377088,767.9712,7.4199231150000005,6.10215696,4.30797136,9.599639999999999
539.630772,348.5034432,803.9097088,767.9712,6.74538465,4.356293040000001,10.04887136,9.599639999999999
26.9815386,697.23,574.09,383.9856,0.674538465,17.43075,14.35225,9.599639999999999
728.5447126617601,278.892,114.63429119999999,767.9712,9.106808908272,3.4861500000000003,1.4329286399999999,9.599639999999999
134.91848561544,278.8641108,344.454,287.9892,4.4972828538480005,9.29547036,11.4818,9.599639999999999
431.7046176,1115.568,0.0,767.9712,5.39630772,13.944600000000001,0.0,9.599639999999999
53.9630772,209.28055679999997,3100.2697088,767.9712,0.674538465,2.61600696,38.75337136,9.599639999999999
350.71683133824,278.892,1722.4537088,767.9712,4.383960391728,3.4861500000000003,21.530671360000003,9.599639999999999
188.8707702,627.507,0.0,383.9856,4.721769255000001,15.687675,0.0,9.599639999999999
161.88923160000002,418.33799999999997,0.0,287.9892,5.39630772,13.944600000000001,0.0,9.599639999999999
188.8707702,0.0,1033.362,383.9856,4.721769255000001,0.0,25.83405,9.599639999999999
107.9261544,1812.798,229.636,767.9712,1.34907693,22.659975,2.87045,9.599639999999999
161.88923160000002,418.33799999999997,0.0,287.9892,5.39630772,13.944600000000001,0.0,9.599639999999999
566.56914013824,767.0645568,0.0,767.9712,7.082114251728,9.58830696,0.0,9.599639999999999
80.98778626176,1533.906,803.9097088,767.9712,1.012347328272,19.173825,10.04887136,9.599639999999999
566.56914013824,348.5034432,688.908,767.9712,7.082114251728,4.356293040000001,8.611350000000002,9.599639999999999
53.9630772,348.615,1033.362,383.9856,1.34907693,8.715375,25.83405,9.599639999999999
269.815386,278.892,229.636,383.9856,6.74538465,6.972300000000001,5.7409,9.599639999999999
