ionization_energy_tot_Al,ionization_energy_tot_Ga,ionization_energy_tot_In,ionization_energy_tot_O,ionization_energy_avg_Al,ionization_energy_avg_Ga,ionization_energy_avg_In,ionization_energy_avg_O
11550.0,6945.599999999999,0.0,63067.200000000004,144.375,86.82000000000001,0.0,788.34
11550.0,6945.599999999999,0.0,63067.200000000004,144.375,86.82000000000001,0.0,788.34
7507.5,1736.3999999999999,0.0,31533.600000000002,187.6875,43.410000000000004,0.0,788.34
5197.5,0.0,1674.8999999999999,23650.2,173.25000000000003,0.0,55.83,788.34
0.0,11576.0,6699.599999999999,63067.200000000004,0.0,144.7,83.745,788.34
5197.5,4051.5999999999995,0.0,31533.600000000002,129.9375,101.29,0.0,788.34
576.576,1737.3260799999998,15632.399999999998,63067.200000000004,7.2072,21.716575999999996,195.405,788.34
2310.0,0.0,2233.2,15766.800000000001,115.5,0.0,111.66,788.34
9816.576000000001,4052.5260799999996,4466.4,63067.200000000004,122.7072,50.656575999999994,55.83,788.34
7506.576,10998.126079999998,0.0,63067.200000000004,93.83220000000001,137.476576,0.0,788.34
8084.538000000001,5788.46304,0.0,47300.4,134.74230000000003,96.474384,0.0,788.34
10973.423999999999,7523.473919999999,0.0,63067.200000000004,137.1678,94.043424,0.0,788.34
7507.5,1736.3999999999999,0.0,31533.600000000002,187.6875,43.410000000000004,0.0,788.34
2310.0,16206.399999999998,0.0,63067.200000000004,28.875,202.58,0.0,788.34
6930.0,2315.2,8932.8,63067.200000000004,86.62500000000001,28.939999999999998,111.66,788.34
8085.0,3472.7999999999997,6699.599999999999,63067.200000000004,101.06250000000001,43.410000000000004,83.745,788.34
16746.576,1157.6,557.40672,63067.200000000004,209.3322,14.469999999999999,6.9675839999999996,788.34
0.0,7523.473919999999,10608.59328,63067.200000000004,0.0,94.043424,132.607416,788.34
2887.7309999999998,2314.96848,1674.8999999999999,23650.2,96.25770000000001,77.16561599999999,55.83,788.34
1155.0,1157.6,2233.2,15766.800000000001,57.75,57.879999999999995,111.66,788.34
0.0,6945.599999999999,11166.0,63067.200000000004,0.0,86.82000000000001,139.575,788.34
4042.2690000000007,2894.23152,0.0,23650.2,134.74230000000003,96.474384,0.0,788.34
4620.231,0.0,2232.9766799999998,23650.2,154.00769999999997,0.0,74.43255599999999,788.34
2886.576,10418.4,5023.80672,63067.200000000004,36.08220000000001,130.23,62.797584,788.34
5197.5,1157.83152,558.07668,23650.2,173.25000000000003,38.594384,18.602556,788.34
8085.0,0.0,1116.6,31533.600000000002,202.12500000000003,0.0,27.915,788.34
4042.5,2315.2,2791.5,31533.600000000002,101.06250000000001,57.879999999999995,69.7875,788.34
8085.0,1157.6,0.0,31533.600000000002,202.12500000000003,28.939999999999998,0.0,788.34
1733.424,9260.8,7257.006719999999,63067.200000000004,21.6678,115.75999999999999,90.712584,788.34
15015.0,577.8739199999999,2790.6067199999998,63067.200000000004,187.6875,7.223424,34.882584,788.34
6353.424,5788.0,6142.1932799999995,63067.200000000004,79.4178,72.35,76.777416,788.34
0.0,2315.2,6699.599999999999,31533.600000000002,0.0,57.879999999999995,167.49,788.34
5197.5,0.0,3908.0999999999995,31533.600000000002,129.9375,0.0,97.7025,788.34
10973.423999999999,4052.5260799999996,3349.7999999999997,63067.200000000004,137.1678,50.656575999999994,41.8725,788.34
0.0,10418.4,7816.199999999999,63067.200000000004,0.0,130.23,97.7025,788.34
6353.424,7523.473919999999,4466.4,63067.200000000004,79.4178,94.043424,55.83,788.34
4620.0,0.0,4466.4,31533.600000000002,115.5,0.0,111.66,788.34
5775.0,1157.6,11166.0,63067.200000000004,72.1875,14.469999999999999,139.575,788.34
2310.0,4051.5999999999995,2791.5,31533.600000000002,57.75,101.29,69.7875,788.34
1733.424,8682.92608,7816.199999999999,63067.200000000004,21.6678,108.536576,97.7025,788.34
5196.576,6367.7260799999995,6699.599999999999,63067.200000000004,64.9572,79.596576,83.745,788.34
15015.0,577.8739199999999,2790.6067199999998,63067.200000000004,187.6875,7.223424,34.882584,788.34
11550.0,577.8739199999999,6142.1932799999995,63067.200000000004,144.375,7.223424,76.777416,788.34
17903.424,577.8739199999999,0.0,63067.200000000004,223.79280000000003,7.223424,0.0,788.34
7506.576,6367.7260799999995,4466.4,63067.200000000004,93.83220000000001,79.596576,55.83,788.34
9240.0,9260.8,0.0,63067.200000000004,115.5,115.75999999999999,0.0,788.34
12705.0,4052.5260799999996,1675.7932799999999,63067.200000000004,158.8125,50.656575999999994,20.947415999999997,788.34
11550.0,2893.07392,3908.9932799999997,63067.200000000004,144.375,36.163424,48.862415999999996,788.34
577.5,5788.0,2791.5,31533.600000000002,14.4375,144.7,69.7875,788.34
15593.423999999999,2315.2,557.40672,63067.200000000004,194.91780000000003,28.939999999999998,6.9675839999999996,788.34
2887.7309999999998,2314.96848,1674.8999999999999,23650.2,96.25770000000001,77.16561599999999,55.83,788.34
9240.0,9260.8,0.0,63067.200000000004,115.5,115.75999999999999,0.0,788.34
1155.0,1737.3260799999998,15074.993279999999,63067.200000000004,14.4375,21.716575999999996,188.437416,788.34
7506.576,2315.2,8375.393279999998,63067.200000000004,93.83220000000001,28.939999999999998,104.69241600000001,788.34
4042.5,5209.2,0.0,31533.600000000002,101.06250000000001,130.23,0.0,788.34
3465.0,3472.7999999999997,0.0,23650.2,115.5,115.75999999999999,0.0,788.34
4042.5,0.0,5024.7,31533.600000000002,101.06250000000001,0.0,125.61749999999999,788.34
2310.0,15048.8,1116.6,63067.200000000004,28.875,188.10999999999999,13.9575,788.34
3465.0,3472.7999999999997,0.0,23650.2,115.5,115.75999999999999,0.0,788.34
12126.576000000001,6367.7260799999995,0.0,63067.200000000004,151.5822,79.596576,0.0,788.34
1733.424,12733.599999999999,3908.9932799999997,63067.200000000004,21.6678,159.17,48.862415999999996,788.34
12126.576000000001,2893.07392,3349.7999999999997,63067.200000000004,151.5822,36.163424,41.8725,788.34
1155.0,2894.0,5024.7,31533.600000000002,28.875,72.35,125.61749999999999,788.34
5775.0,2315.2,1116.6,31533.600000000002,144.375,57.879999999999995,27.915,788.34
3465.0,15048.8,0.0,63067.200000000004,43.31250000000001,188.10999999999999,0.0,788.34
4043.424,9838.67392,4466.4,63067.200000000004,50.5428,122.98342399999999,55.83,788.34
