electronegativity_tot_Al,electronegativity_tot_Ga,electronegativity_tot_In,electronegativity_tot_O,electronegativity_avg_Al,electronegativity_avg_Ga,electronegativity_avg_In,electronegativity_avg_O
32.2,21.72,0.0,165.12,0.4025,0.2715000000000001,0.0,2.064
32.2,21.72,0.0,165.12,0.4025,0.2715000000000001,0.0,2.064
20.93,5.43,0.0,82.56,0.5232500000000001,0.13575000000000004,0.0,2.064
14.49,0.0,5.34,61.92,0.4830000000000001,0.0,0.17800000000000002,2.064
0.0,36.2,21.36,165.12,0.0,0.4525,0.26700000000000007,2.064
14.49,12.67,0.0,82.56,0.36225,0.31675000000000003,0.0,2.064
1.607424,5.4328959999999995,49.84,165.12,0.0200928,0.0679112,0.6230000000000001,2.064
6.44,0.0,7.12,41.28,0.32200000000000006,0.0,0.35600000000000004,2.064
27.367424000000003,12.672896,14.24,165.12,0.34209280000000003,0.1584112,0.17800000000000002,2.064
20.927424000000002,34.392896,0.0,165.12,0.2615928,0.42991120000000005,0.0,2.064
22.538712000000004,18.101448,0.0,123.84,0.37564520000000007,0.30169080000000004,0.0,2.064
30.592576,23.527104,0.0,165.12,0.38240720000000006,0.29408880000000004,0.0,2.064
20.93,5.43,0.0,82.56,0.5232500000000001,0.13575000000000004,0.0,2.064
6.44,50.68,0.0,165.12,0.08050000000000002,0.6335000000000001,0.0,2.064
19.32,7.24,28.48,165.12,0.24150000000000005,0.09050000000000001,0.35600000000000004,2.064
22.540000000000003,10.86,21.36,165.12,0.28175000000000006,0.13575000000000004,0.26700000000000007,2.064
46.687424,3.62,1.7771519999999998,165.12,0.5835928,0.045250000000000005,0.0222144,2.064
0.0,23.527104,33.822848,165.12,0.0,0.29408880000000004,0.42278560000000004,2.064
8.050644,7.239276,5.34,61.92,0.26835480000000006,0.2413092,0.17800000000000002,2.064
3.22,3.62,7.12,41.28,0.16100000000000003,0.18100000000000002,0.35600000000000004,2.064
0.0,21.72,35.6,165.12,0.0,0.2715000000000001,0.445,2.064
11.269356000000002,9.050724,0.0,61.92,0.37564520000000007,0.30169080000000004,0.0,2.064
12.880643999999998,0.0,7.119288,61.92,0.4293548,0.0,0.23730959999999998,2.064
8.047424000000001,32.58,16.017152,165.12,0.10059280000000002,0.40725,0.20021440000000001,2.064
