id,formation_energy_ev_natom,bandgap_energy_ev
1,0.204582,1.61127
2,0.063146,3.72936
3,0.162293,3.59414
4,0.0254467,2.95076
5,0.145714,1.5368
6,0.0705697,4.31194
7,0.0724781,3.26041
8,0.113536,2.15453
9,0.0561914,2.74323
10,0.238785,3.07809
11,0.191107,1.99181
12,0.0973061,2.69209
13,0.329583,0.965024
14,0.176122,2.14795
15,0.0641174,0.943902
16,0.266981,2.97611
17,0.211464,1.74757
18,0.212294,2.3253
19,0.368537,1.37917
20,0.184622,1.4005
21,0.073759,1.80722
22,0.148985,2.93783
23,0.171233,1.64977
24,0.17344,3.05087
25,0.0226703,2.52845
26,0.131188,0.980875
27,0.254801,1.31386
28,0.215714,1.90259
29,0.109732,1.18874
30,0.236145,2.03338
31,0.250948,1.1579
32,0.1484,1.87863
33,0.104135,1.49747
34,0.182627,1.68549
35,0.0553994,0.949666
36,0.194586,0.806505
37,0.161825,3.58364
38,0.146415,1.45153
39,0.252062,2.06455
40,0.108,3.43211
41,0.0584743,3.92019
42,0.15544,3.18241
43,0.0584743,3.91899
44,0.200285,1.42922
45,0.280576,0.43254
46,0.0477236,3.91779
47,0.207956,1.80299
48,0.259035,1.93738
49,0.230531,3.70346
50,0.112287,1.22037
51,0.146527,2.1278
52,0.0925968,1.71705
53,0.237777,1.64738
54,0.265559,2.91745
55,0.145913,3.11185
56,0.278931,0.258072
57,0.207709,2.33314
58,0.285363,2.11114
59,0.186869,0.93143
60,0.146654,2.90481
61,0.281532,0.317288
62,0.173245,1.60375
63,0.331547,1.78408
64,0.231508,3.34703
65,0.345998,1.10533
66,0.067752,2.85187
67,0.0724781,3.25745
68,0.212969,2.22378
69,0.23068,3.74325
70,0.293105,1.84034
71,0.0566119,2.65904
72,0.10534,3.10323
73,0.0523114,2.3354
74,0.124936,2.13383
75,0.262117,1.63072
76,0.286199,2.53281
77,0.335429,1.3765
78,0.251369,2.27457
79,0.186963,2.34961
80,0.255293,1.2515
81,0.108,3.44146
82,0.0662555,3.43738
83,0.228618,1.01433
84,0.0655772,0.995466
85,0.108,3.44146
86,0.202449,2.98371
87,0.0674837,3.31463
88,0.0527774,2.66477
89,0.0979192,4.28172
90,0.334964,1.50634
91,0.0992007,4.50929
92,0.281071,0.603857
93,0.220126,2.31879
94,0.0205637,2.14656
95,0.0724781,3.22521
96,0.329583,1.04349
97,0.249462,2.13527
98,0.0647329,1.42081
99,0.0624186,1.88078
100,0.266331,1.00214
101,0.146218,1.50876
102,0.0477236,3.93545
103,0.239587,2.12815
104,0.317149,1.18802
105,0.232858,1.475
106,0.0979192,4.27735
107,0.103093,4.007
108,0.218855,2.55263
109,0.20681,2.25382
110,0.131493,0.795605
111,0.317277,0.760597
112,0.0722684,2.97391
113,0.211465,2.34984
114,0.28788,2.62828
115,0.342215,1.99642
116,0.220551,2.68862
117,0.222167,2.07816
118,0.257614,2.1608
119,0.220126,2.3531
120,0.189341,2.35961
121,0.25594,2.21724
122,0.147761,1.82118
123,0.0553994,0.947772
124,0.304762,0.150313
125,0.162372,1.28464
126,0.108044,3.48952
127,0.10347,2.43924
128,0.326938,2.51929
129,0.365772,1.4211
130,0.287539,1.77338
131,0.0994925,3.40699
132,0.320892,0.161921
133,0.0724781,3.27344
134,0.167317,1.26669
135,0.144656,2.81366
