id,formation_energy_ev_natom,bandgap_energy_ev
1,0.198919,1.56737
2,0.0675521,3.72949
3,0.162569,3.58661
4,0.0256368,2.9268
5,0.145965,1.51631
6,0.10713,4.30816
7,0.0670859,3.24516
8,0.122199,2.12303
9,0.050459,2.70328
10,0.246831,2.99821
11,0.19308,1.86844
12,0.0996777,2.64696
13,0.335019,0.982734
14,0.178555,1.98313
15,0.0637256,0.928879
16,0.259229,3.17313
17,0.210858,1.69095
18,0.218086,2.37549
19,0.3839,1.25476
20,0.189277,1.3731
21,0.082841,1.8203
22,0.148027,2.99066
23,0.173205,1.76452
24,0.170773,3.12315
25,0.0232199,2.62745
26,0.139745,0.982006
27,0.254233,1.31057
28,0.205921,1.92959
29,0.119401,1.18692
30,0.230332,2.0356
31,0.250643,1.11652
32,0.132344,1.90134
33,0.110741,1.5709
34,0.176996,1.76914
35,0.0499648,0.935453
36,0.199959,0.795078
37,0.162286,3.61663
38,0.147116,1.43327
39,0.251326,2.03949
40,0.108787,3.39368
41,0.0586441,3.941
42,0.146114,3.1533
43,0.0586441,3.941
44,0.19683,1.28699
45,0.295555,0.546637
46,0.0412852,3.9998
47,0.2021,1.8492
48,0.257517,1.8712
49,0.223346,3.65937
50,0.119401,1.23026
51,0.130169,2.05143
52,0.0744174,1.65615
53,0.234833,1.68405
54,0.256537,2.82118
55,0.152951,2.82247
56,0.278163,0.443524
57,0.209854,2.29574
58,0.279471,2.45653
59,0.185509,0.946947
60,0.143993,2.81055
61,0.283133,0.438453
62,0.185229,1.73668
63,0.332434,1.7655
64,0.227642,3.26217
65,0.350538,1.03891
66,0.0641467,2.78881
67,0.0666789,3.22863
68,0.215982,2.23306
69,0.223081,3.50131
70,0.285783,1.71751
71,0.0560943,2.63157
72,0.105747,3.06061
73,0.0543495,2.28846
74,0.117839,1.9735
75,0.267033,1.66574
76,0.280367,2.69279
77,0.327448,1.08325
78,0.243786,2.25541
79,0.187941,2.39266
80,0.260718,1.22667
81,0.108787,3.38191
82,0.064224,3.48196
83,0.2294,1.03575
84,0.06236,1.00694
85,0.108787,3.38191
86,0.19826,2.86035
87,0.0705287,3.25253
88,0.0494017,2.64777
89,0.0971913,4.3086
90,0.337265,1.55133
91,0.0896602,4.49883
92,0.28774,0.668305
93,0.223198,2.35652
94,0.0203151,2.12491
95,0.0666789,3.21686
96,0.333549,1.08998
97,0.248212,2.11962
98,0.0498733,1.36707
99,0.0696162,1.99246
100,0.297131,1.00824
101,0.148935,1.52062
102,0.0412852,3.98803
103,0.240975,2.10071
104,0.312797,1.28528
105,0.25781,1.5353
106,0.0971913,4.3086
107,0.0981322,4.03099
108,0.227038,2.57582
109,0.209814,2.2446
110,0.127694,0.820372
111,0.308597,0.759822
112,0.065873,2.96924
113,0.217492,2.42604
114,0.334045,2.78025
115,0.361773,2.20016
116,0.21866,2.73863
117,0.2134,2.10545
118,0.256763,2.10172
119,0.223198,2.36837
120,0.194288,2.15856
121,0.25764,2.16248
122,0.145708,1.8252
123,0.0499648,0.935535
124,0.301592,0.294859
125,0.150177,1.21892
126,0.109327,3.39376
127,0.112427,2.34876
128,0.334299,2.59609
129,0.3839,1.25879
130,0.274451,1.75505
131,0.105023,3.33318
132,0.293279,0.273678
133,0.0666789,3.22871
134,0.172028,1.24987
135,0.144366,2.72206
136,0.158878,0.835664
137,0.158173,0.829228
138,0.256763,2.10172
139,0.1623,1.93336
140,0.209814,2.07745
141,0.14864,1.83858
142,0.202915,3.0393
143,0.227642,3.23482
144,0.0560616,0.977869
145,0.392018,1.51616
146,0.0645729,4.33944
147,0.148771,1.59908
148,0.187183,2.11927
