id,formation_energy_ev_natom,bandgap_energy_ev
1,0.224078,1.50096
2,0.0653164,3.61669
3,0.157866,3.34865
4,0.033346,2.82133
5,0.180967,1.44162
6,0.0719418,4.39567
7,0.0758066,3.04714
8,0.123334,2.13898
9,0.0562387,2.68542
10,0.241641,2.87778
11,0.176712,1.91763
12,0.10487,2.62419
13,0.327421,0.975899
14,0.192496,2.18203
15,0.0650646,0.932639
16,0.260931,2.7043
17,0.231752,1.61978
18,0.228757,2.27391
19,0.358431,1.28245
20,0.206458,1.41341
21,0.0801915,1.83806
22,0.151408,2.87811
23,0.199487,1.60307
24,0.1722,2.96795
25,0.027372,2.49611
26,0.148939,0.937758
27,0.260088,1.29676
28,0.181876,1.95594
29,0.112053,1.12144
30,0.177217,2.10654
31,0.247993,1.17101
32,0.175799,1.80898
33,0.138977,1.49097
34,0.204132,1.6961
35,0.0577032,0.947141
36,0.187429,0.809877
37,0.157537,3.65053
38,0.161936,1.39162
39,0.252911,1.95049
40,0.108287,3.20875
41,0.0586034,3.74326
42,0.153709,3.12884
43,0.0586034,3.74326
44,0.19998,1.31077
45,0.299148,0.358642
46,0.0483134,3.99577
47,0.217411,1.80398
48,0.238957,2.01868
49,0.232274,3.30064
50,0.116162,1.1843
51,0.172549,2.07172
52,0.107748,1.64124
53,0.23827,1.70319
54,0.266943,2.68964
55,0.166143,3.1757
56,0.290593,0.329897
57,0.225655,2.27671
58,0.274819,1.88051
59,0.191184,0.961295
60,0.156835,3.0667
61,0.289179,0.326835
62,0.201075,1.63057
63,0.335897,1.69362
64,0.233352,3.0727
65,0.331968,1.14439
66,0.0750562,2.59145
67,0.0758066,3.0474
68,0.229759,2.16527
69,0.232274,3.30062
70,0.295897,1.7476
71,0.055047,2.55628
72,0.104621,2.88056
73,0.0518842,2.2907
74,0.130772,2.0043
75,0.262762,1.64701
76,0.282562,2.12152
77,0.333439,1.23687
78,0.250766,2.26799
79,0.198742,2.3333
80,0.260088,1.22852
81,0.108287,3.16846
82,0.0658711,3.27111
83,0.233315,1.06934
84,0.0656095,0.972301
85,0.108287,3.16846
86,0.204003,2.94215
87,0.0658783,3.29697
88,0.0522271,2.6403
89,0.0964747,4.248
90,0.330785,1.49224
91,0.104408,4.31136
92,0.250626,0.599268
93,0.233655,2.27139
94,0.0258584,2.05492
95,0.0758066,3.01801
96,0.328103,1.07555
97,0.251979,1.98454
98,0.0951771,1.28387
99,0.0636651,1.90785
100,0.259168,1.13424
101,0.155427,1.40544
102,0.0483134,3.96998
103,0.250101,2.01357
104,0.299314,0.935391
105,0.234611,1.65531
106,0.0964747,4.248
107,0.0997313,4.00881
108,0.23352,2.4116
109,0.225107,2.151
110,0.131646,0.801456
111,0.309535,0.766687
112,0.0760716,2.80376
113,0.222923,2.26179
114,0.269975,2.86573
115,0.342748,1.91689
116,0.224355,2.58037
117,0.216148,2.21908
118,0.25849,2.02835
119,0.233655,2.29871
120,0.20628,2.06405
121,0.255125,2.06892
122,0.171465,1.8529
123,0.0577032,0.941009
124,0.312393,0.209019
125,0.166523,1.26005
