id,formation_energy_ev_natom,bandgap_energy_ev
1,0.219571,1.57502
2,0.0617006,3.69055
3,0.157561,3.53903
4,0.0291201,2.94866
5,0.15168,1.55089
6,0.0765789,4.16545
7,0.0672795,3.21798
8,0.128507,2.15722
9,0.0556294,2.70817
10,0.249572,3.10579
11,0.195196,1.8959
12,0.101612,2.70495
13,0.329532,0.979375
14,0.170512,2.07118
15,0.0586039,0.956513
16,0.276047,2.96416
17,0.213015,1.70688
18,0.215152,2.33533
19,0.374807,1.3671
20,0.189629,1.41457
21,0.0678284,1.77862
22,0.151079,2.99935
23,0.174946,1.69999
24,0.170483,3.04438
25,0.0233955,2.61412
26,0.126823,1.02012
27,0.256508,1.31537
28,0.217007,1.86018
29,0.115996,1.20272
30,0.229047,1.98529
31,0.253058,1.12681
32,0.14264,1.85391
33,0.103284,1.53978
34,0.181396,1.77303
35,0.0458114,0.970675
36,0.207078,0.800791
37,0.160321,3.63411
38,0.146487,1.45696
39,0.245765,2.03202
40,0.107668,3.42283
41,0.0576686,3.95259
42,0.154716,3.1848
43,0.0576686,3.9468
44,0.196125,1.38073
45,0.292297,0.461091
46,0.0297954,3.93358
47,0.200841,1.81747
48,0.266586,1.89667
49,0.223661,3.76612
50,0.115254,1.22933
51,0.141787,2.10952
52,0.0815268,1.69907
53,0.228078,1.66197
54,0.263698,2.92054
55,0.158435,2.98286
56,0.285598,0.367074
57,0.213492,2.35424
58,0.282861,1.98968
59,0.19366,0.934849
60,0.149046,2.86657
61,0.284861,0.324466
62,0.17634,1.64641
63,0.331658,1.8031
64,0.226145,3.38603
65,0.343211,1.10459
66,0.0623386,2.88393
67,0.0666312,3.2583
68,0.216555,2.25661
69,0.223734,3.68451
70,0.289139,1.73094
71,0.0553591,2.61231
72,0.104169,3.06116
73,0.050717,2.32167
74,0.118677,2.1009
75,0.26275,1.63579
76,0.282892,2.51041
77,0.333842,1.3294
78,0.253291,2.24888
79,0.190615,2.36394
80,0.25701,1.26406
81,0.107668,3.43188
82,0.0639065,3.40851
83,0.235423,1.07344
84,0.0720729,0.999341
85,0.107668,3.43188
86,0.20084,3.01451
87,0.068095,3.29693
88,0.0500097,2.65979
89,0.0955173,4.29249
90,0.338678,1.47654
91,0.0942046,4.47778
92,0.276921,0.516048
93,0.221272,2.34613
94,0.0172823,2.07534
95,0.0666312,3.19847
96,0.327142,1.05474
97,0.243821,2.10762
98,0.0547742,1.41509
99,0.0516042,1.91105
100,0.289165,1.02461
101,0.156497,1.518
102,0.0297954,3.96483
103,0.235378,2.08097
104,0.324906,1.11793
105,0.234207,1.38198
106,0.0955173,4.29249
107,0.0941554,4.01127
108,0.227061,2.52425
109,0.213804,2.2492
110,0.133294,0.792245
111,0.313827,0.780685
112,0.0647825,2.95947
113,0.209454,2.39884
114,0.308929,3.01959
115,0.357306,2.01483
116,0.220321,2.72972
117,0.222168,1.94093
118,0.263128,2.19935
119,0.221272,2.4036
