id,formation_energy_ev_natom,bandgap_energy_ev
1,0.188741,1.58325
2,0.0642613,3.78211
3,0.157547,3.5756
4,0.0309755,2.97933
5,0.140659,1.52323
6,0.104383,4.23362
7,0.073366,3.24278
8,0.131277,2.14885
9,0.0535713,2.73314
10,0.24219,3.07002
11,0.197588,1.97862
12,0.108187,2.60319
13,0.334603,0.883921
14,0.176144,2.13426
15,0.063813,0.944458
16,0.256063,2.72862
17,0.203011,1.70284
18,0.224015,2.26655
19,0.380268,1.35272
20,0.188408,1.36783
21,0.096661,1.78515
22,0.149075,2.8649
23,0.171836,1.61027
24,0.163204,2.99982
25,0.0275509,2.46991
26,0.157835,0.944185
27,0.264173,1.2931
28,0.211836,1.88812
29,0.113176,1.17625
30,0.234801,1.98276
31,0.243794,1.16256
32,0.131359,1.83889
33,0.114786,1.57049
34,0.172963,1.73928
35,0.0475178,0.945032
36,0.217227,0.828436
37,0.159373,3.56463
38,0.145512,1.3917
39,0.252949,2.03132
40,0.109401,3.48321
41,0.0571369,3.95721
42,0.150472,3.18305
43,0.0571369,3.95721
44,0.196752,1.45723
45,0.296343,0.526189
46,0.0314656,4.0051
47,0.19688,1.91605
48,0.25835,1.96691
49,0.217149,3.62417
50,0.11302,1.20958
51,0.131164,2.05017
52,0.0776869,1.64629
53,0.230996,1.70294
54,0.245265,3.08628
55,0.147427,3.07288
56,0.276049,0.321119
57,0.203352,2.34278
58,0.260646,2.15481
59,0.194841,0.91336
60,0.141372,2.96213
61,0.277305,0.323424
62,0.183325,1.58298
63,0.333327,1.8255
64,0.22159,3.40293
65,0.3447,1.15905
66,0.0700219,2.80044
67,0.0682635,3.2344
68,0.22159,2.24839
69,0.220224,3.58607
70,0.297893,1.7432
71,0.0549866,2.66916
72,0.107515,3.12753
73,0.0563626,2.31606
74,0.101485,2.10095
75,0.27125,1.62756
76,0.261915,2.26721
77,0.325168,1.44965
78,0.245045,2.31258
79,0.180211,2.34122
80,0.264173,1.25203
81,0.109401,3.45122
82,0.0662659,3.42264
83,0.224911,1.01314
84,0.0694729,0.990599
85,0.109401,3.45122
86,0.200142,2.95697
87,0.0668483,3.32348
88,0.049511,2.68091
89,0.0985142,4.2446
90,0.333712,1.53445
91,0.0894644,4.55728
92,0.275706,0.497595
93,0.223266,2.31201
94,0.0209535,2.11681
95,0.0682635,3.17983
96,0.331414,1.06516
97,0.242416,2.16564
